script	result	duration_ms	error
15_capacity_forecasting/02_capture_database_size_snapshot.sql	FAIL	13	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/15_capacity_forecasting/02_capture_database_size_snapshot.sql:15: ERROR: cannot execute INSERT in a read-only transaction
15_capacity_forecasting/03_capture_table_size_snapshot.sql	FAIL	17	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/15_capacity_forecasting/03_capture_table_size_snapshot.sql:24: ERROR: cannot execute INSERT in a read-only transaction
15_capacity_forecasting/04_capture_index_size_snapshot.sql	FAIL	16	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/15_capacity_forecasting/04_capture_index_size_snapshot.sql:24: ERROR: cannot execute INSERT in a read-only transaction
15_capacity_forecasting/05_capture_connection_snapshot.sql	FAIL	16	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/15_capacity_forecasting/05_capture_connection_snapshot.sql:25: ERROR: cannot execute INSERT in a read-only transaction
15_capacity_forecasting/06_capture_wal_snapshot.sql	FAIL	13	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/15_capacity_forecasting/06_capture_wal_snapshot.sql:22: ERROR: cannot execute INSERT in a read-only transaction
15_capacity_forecasting/07_database_growth_report.sql	PASS	28	-
15_capacity_forecasting/08_table_growth_report.sql	PASS	17	-
16_internals_deep_dive/01_database_xid_multixact_age.sql	PASS	16	-
16_internals_deep_dive/02_relation_filenode_mapping.sql	PASS	18	-
16_internals_deep_dive/03_system_catalog_size_profile.sql	PASS	45	-
16_internals_deep_dive/04_dependency_fanout_objects.sql	PASS	14	-
16_internals_deep_dive/05_fsm_vm_toast_size_breakdown.sql	PASS	25	-
16_internals_deep_dive/06_visibility_and_freeze_profile.sql	PASS	20	-
16_internals_deep_dive/07_toast_compression_storage_policy.sql	PASS	46	-
16_internals_deep_dive/08_relation_forks_persistence_map.sql	PASS	17	-
16_internals_deep_dive/09_slru_control_checkpoint_internals.sql	PASS	13	-
16_internals_deep_dive/10_wait_event_internals_live_map.sql	PASS	13	-
16_internals_deep_dive/11_internal_extension_readiness.sql	PASS	19	-
16_internals_deep_dive/12_backend_memory_contexts_snapshot.sql	PASS	18	-
16_internals_deep_dive/13_postgres_internals_keyword_coverage_matrix.sql	PASS	23	-
16_internals_deep_dive/14_vacuum_internal_pressure_dashboard.sql	PASS	28	-
16_internals_deep_dive/15_wal_write_path_pressure_dashboard.sql	PASS	21	-
16_internals_deep_dive/16_checkpoint_background_writer_pressure_15_plus.sql	FAIL	14	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/16_internals_deep_dive/16_checkpoint_background_writer_pressure_15_plus.sql:211: ERROR: cannot execute CREATE FUNCTION in a read-only transaction
16_internals_deep_dive/17_cloud_portability_capability_matrix.sql	PASS	17	-
16_internals_deep_dive/18_query_text_capture_limits.sql	PASS	24	-
17_execution_plans/01_plan_capture_prerequisites.sql	PASS	16	-
17_execution_plans/02_explain_analyze_template.sql	PASS	14	-
17_execution_plans/03_generate_explain_for_top_queries.sql	PASS	36	-
17_execution_plans/04_plan_red_flag_candidates.sql	PASS	40	-
18_long_queries_full_scans/01_active_long_queries.sql	PASS	16	-
18_long_queries_full_scans/02_long_queries_from_statements.sql	PASS	43	-
18_long_queries_full_scans/03_short_vs_long_query_distribution.sql	PASS	23	-
18_long_queries_full_scans/04_full_scan_hotspot_tables.sql	PASS	27	-
19_dml_optimization/01_write_heavy_tables.sql	PASS	22	-
19_dml_optimization/02_hot_update_efficiency.sql	PASS	20	-
19_dml_optimization/03_missing_fk_supporting_indexes.sql	PASS	27	-
19_dml_optimization/04_dml_bloat_pressure.sql	PASS	22	-
20_design_matters/01_tables_without_primary_keys.sql	PASS	18	-
20_design_matters/02_wide_tables_profile.sql	PASS	23	-
20_design_matters/03_overindexed_tables.sql	PASS	36	-
20_design_matters/04_high_nullability_columns.sql	PASS	21	-
21_configuration_parameters/01_core_performance_settings.sql	PASS	16	-
21_configuration_parameters/02_wal_checkpoint_settings.sql	PASS	21	-
21_configuration_parameters/03_autovacuum_settings.sql	PASS	15	-
21_configuration_parameters/04_connection_timeout_settings.sql	PASS	16	-
21_configuration_parameters/05_parameter_deviation_necessity_report.sql	PASS	30	-
22_application_orm_performance/01_n_plus_one_query_candidates.sql	PASS	24	-
22_application_orm_performance/02_select_star_candidates.sql	PASS	41	-
22_application_orm_performance/03_chatty_small_result_queries.sql	PASS	16	-
22_application_orm_performance/04_app_idle_in_transaction_risk.sql	PASS	19	-
23_functions_dynamic_sql/01_function_execution_hotspots.sql	PASS	17	-
23_functions_dynamic_sql/02_dynamic_sql_function_inventory.sql	PASS	18	-
23_functions_dynamic_sql/03_volatile_and_security_definer_functions.sql	PASS	18	-
23_functions_dynamic_sql/04_trigger_function_inventory.sql	PASS	29	-
24_complex_filter_search/01_like_ilike_query_candidates.sql	PASS	49	-
24_complex_filter_search/02_jsonb_array_column_inventory.sql	PASS	14	-
24_complex_filter_search/03_gin_gist_brin_index_inventory.sql	PASS	12	-
24_complex_filter_search/04_full_text_search_inventory.sql	PASS	13	-
25_oltp_olap_goals/01_workload_signature_oltp_vs_olap.sql	PASS	49	-
25_oltp_olap_goals/02_oltp_latency_goal_candidates.sql	PASS	20	-
25_oltp_olap_goals/03_olap_throughput_candidates.sql	PASS	20	-
25_oltp_olap_goals/04_mixed_workload_pressure.sql	PASS	16	-
26_physical_cloud_diagnostics/01_instance_platform_fingerprint.sql	PASS	14	-
26_physical_cloud_diagnostics/02_io_latency_profile.sql	PASS	15	-
26_physical_cloud_diagnostics/03_checkpoint_fsync_pressure.sql	FAIL	14	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/26_physical_cloud_diagnostics/03_checkpoint_fsync_pressure.sql:22: ERROR: cannot execute CREATE TABLE in a read-only transaction
26_physical_cloud_diagnostics/04_replication_slot_wal_retention_risk.sql	PASS	15	-
27_high_speed_tuning/01_bottleneck_overview_dashboard.sql	FAIL	13	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/27_high_speed_tuning/01_bottleneck_overview_dashboard.sql:40: ERROR: cannot execute CREATE TABLE in a read-only transaction
27_high_speed_tuning/02_waits_and_blocking_details.sql	PASS	16	-
27_high_speed_tuning/03_missing_index_candidates_from_scan_pressure.sql	PASS	21	-
27_high_speed_tuning/04_missing_fk_index_candidates.sql	PASS	27	-
27_high_speed_tuning/05_parameter_tuning_advisor.sql	PASS	33	-
27_high_speed_tuning/06_query_tuning_action_queue.sql	PASS	110	-
28_pgss_resource_attribution/01_pgss_query_resource_percent.sql	PASS	47	-
28_pgss_resource_attribution/02_pgss_resource_percent_by_database.sql	PASS	15	-
28_pgss_resource_attribution/03_pgss_resource_percent_by_user.sql	PASS	15	-
28_pgss_resource_attribution/04_pgss_query_infra_tier_classification.sql	PASS	43	-
29_object_inventory_health/01_object_type_inventory.sql	PASS	19	-
29_object_inventory_health/02_table_pk_fk_health.sql	PASS	18	-
29_object_inventory_health/03_tables_missing_primary_key.sql	PASS	18	-
29_object_inventory_health/04_missing_fk_supporting_indexes.sql	PASS	20	-
29_object_inventory_health/05_missing_join_column_indexes.sql	PASS	19	-
29_object_inventory_health/06_identifier_casing_risks.sql	PASS	17	-
29_object_inventory_health/07_sequence_ownership_health.sql	PASS	22	-
29_object_inventory_health/08_trigger_inventory.sql	PASS	18	-
29_object_inventory_health/09_grant_exposure_audit.sql	PASS	33	-
29_object_inventory_health/10_function_procedure_inventory.sql	PASS	14	-
29_object_inventory_health/11_partition_health.sql	PASS	13	-
29_object_inventory_health/12_user_defined_type_inventory.sql	PASS	21	-
29_object_inventory_health/13_insert_copy_activity.sql	PASS	21	-
29_object_inventory_health/14_fdw_inventory.sql	PASS	22	-
29_object_inventory_health/15_oracle_package_synonym_mapping.sql	PASS	25	-
29_object_inventory_health/16_kettle_etl_activity_signals.sql	PASS	19	-
29_object_inventory_health/17_object_bloat_hotspots.sql	PASS	22	-
29_object_inventory_health/18_object_query_hotspots_pgss.sql	FAIL	14	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/29_object_inventory_health/18_object_query_hotspots_pgss.sql:20: ERROR: cannot execute CREATE TABLE in a read-only transaction
30_backup_restore_pitr_dr/01_backup_pitr_configuration_health.sql	PASS	18	-
30_backup_restore_pitr_dr/02_wal_archiving_gap_and_lag.sql	PASS	17	-
30_backup_restore_pitr_dr/03_restore_to_timestamp_quick_test.sql	PASS	14	-
30_backup_restore_pitr_dr/04_dr_rto_rpo_replication_evidence.sql	PASS	24	-
30_backup_restore_pitr_dr/05_backup_restore_evidence_contract.sql	FAIL	16	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/30_backup_restore_pitr_dr/05_backup_restore_evidence_contract.sql:9: ERROR: cannot execute DROP TABLE in a read-only transaction
31_logging_error_signatures/01_logging_configuration_sanity.sql	PASS	18	-
31_logging_error_signatures/02_error_signature_indicators.sql	PASS	15	-
31_logging_error_signatures/03_slow_query_log_vs_pgss_correlation.sql	FAIL	14	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/31_logging_error_signatures/03_slow_query_log_vs_pgss_correlation.sql:9: ERROR: cannot execute DROP TABLE in a read-only transaction
31_logging_error_signatures/04_lock_wait_deadlock_signatures.sql	PASS	17	-
32_upgrade_patch_readiness/01_version_upgrade_path_overview.sql	PASS	15	-
32_upgrade_patch_readiness/02_extension_version_drift_dependencies.sql	PASS	21	-
32_upgrade_patch_readiness/03_preupgrade_invalid_objects_gate.sql	PASS	19	-
32_upgrade_patch_readiness/04_collation_version_mismatch_risk.sql	PASS	51	-
32_upgrade_patch_readiness/05_postupgrade_query_regression_watchlist_pgss.sql	FAIL	16	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/32_upgrade_patch_readiness/05_postupgrade_query_regression_watchlist_pgss.sql:9: ERROR: cannot execute DROP TABLE in a read-only transaction
32_upgrade_patch_readiness/06_config_file_unknown_or_deprecated_gucs.sql	PASS	19	-
33_bgwriter_memory_pressure/01_bgwriter_checkpointer_pressure.sql	FAIL	12	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/33_bgwriter_memory_pressure/01_bgwriter_checkpointer_pressure.sql:24: ERROR: cannot execute CREATE TABLE in a read-only transaction
33_bgwriter_memory_pressure/02_wal_writer_archiver_pressure.sql	FAIL	13	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/33_bgwriter_memory_pressure/02_wal_writer_archiver_pressure.sql:9: ERROR: cannot execute DROP TABLE in a read-only transaction
33_bgwriter_memory_pressure/03_autovacuum_worker_pressure.sql	PASS	20	-
33_bgwriter_memory_pressure/04_parallel_worker_pressure.sql	PASS	19	-
33_bgwriter_memory_pressure/05_temp_spill_work_mem_pressure.sql	FAIL	16	 step_01_database_temp_pressure | database_scripts_sme_audit | 4MB | 64MB | 128MB | 15 | 32 MB | 4949.44 | | LOW_SPILL_PRESSURE (1 row) psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/33_bgwriter_memory_pressure/05_temp_spill_work_mem_pressure.sql:53: ERROR: cannot execute CREATE TABLE in a read-only transaction
34_consistency_integrity_checks/01_invalid_indexes_and_constraints.sql	PASS	23	-
34_consistency_integrity_checks/02_checksum_status_and_failures.sql	FAIL	14	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/34_consistency_integrity_checks/02_checksum_status_and_failures.sql:9: ERROR: cannot execute DROP TABLE in a read-only transaction
34_consistency_integrity_checks/03_toast_catalog_consistency_signals.sql	PASS	17	-
34_consistency_integrity_checks/04_amcheck_readiness_and_candidate_commands.sql	PASS	16	-
34_consistency_integrity_checks/05_xid_visibility_integrity_risk.sql	PASS	21	-
35_pooler_proxy_diagnostics/01_connection_saturation_queue_risk.sql	PASS	21	-
35_pooler_proxy_diagnostics/02_connection_distribution_by_app_user.sql	PASS	18	-
35_pooler_proxy_diagnostics/03_prepared_statement_pooling_risk.sql	PASS	17	-
35_pooler_proxy_diagnostics/04_tx_pooling_incompatible_patterns_pgss.sql	FAIL	13	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/35_pooler_proxy_diagnostics/04_tx_pooling_incompatible_patterns_pgss.sql:17: ERROR: cannot execute CREATE TABLE in a read-only transaction
35_pooler_proxy_diagnostics/05_pooler_proxy_inventory_signals.sql	PASS	17	-
36_cloud_provider_signals/01_managed_service_fingerprint.sql	PASS	19	-
36_cloud_provider_signals/02_parameter_pending_restart_drift.sql	PASS	16	-
36_cloud_provider_signals/03_replica_lag_failover_signals.sql	PASS	14	-
36_cloud_provider_signals/04_storage_iops_temp_wal_pressure.sql	FAIL	12	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/36_cloud_provider_signals/04_storage_iops_temp_wal_pressure.sql:9: ERROR: cannot execute DROP TABLE in a read-only transaction
36_cloud_provider_signals/05_cloud_incident_window_checklist.sql	PASS	14	-
37_object_lifecycle_capacity/01_create_lifecycle_repository.sql	FAIL	11	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/37_object_lifecycle_capacity/01_create_lifecycle_repository.sql:9: ERROR: cannot execute CREATE SCHEMA in a read-only transaction
37_object_lifecycle_capacity/02_create_ddl_event_triggers.sql	FAIL	12	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/37_object_lifecycle_capacity/02_create_ddl_event_triggers.sql:10: ERROR: cannot execute CREATE SCHEMA in a read-only transaction
37_object_lifecycle_capacity/03_create_snapshot_procedures.sql	FAIL	13	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/37_object_lifecycle_capacity/03_create_snapshot_procedures.sql:9: ERROR: cannot execute CREATE SCHEMA in a read-only transaction
37_object_lifecycle_capacity/04_capture_snapshot_now.sql	FAIL	16	 p_notes ) RETURNING run_id" PL/pgSQL function dba_metrics.sp_capture_operational_snapshot(text,text) line 13 at SQL statement
37_object_lifecycle_capacity/05_create_index_lifecycle_views.sql	FAIL	12	psql:/Users/saiendla/Documents/MCPPostgres/database-scripts-audit/37_object_lifecycle_capacity/05_create_index_lifecycle_views.sql:12: ERROR: cannot execute CREATE SCHEMA in a read-only transaction
